id,model_no,description
19,BAH-750,"Model BAH-750 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 8.0 mm. The maximum flow is 220 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 12.0 meters at a rated flow of 130.0 LPM. More details: https://www.hungpump.com/bah"
20,BAH-750,"Model BAH-750 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 8.0 mm. The maximum flow is 220 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 130.0 LPM. More details: https://www.hungpump.com/bah"
21,BAH-750-1,"Model BAH-750-1 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 8.0 mm. The maximum flow is 220 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 130.0 LPM. More details: https://www.hungpump.com/bah"
22,BAH-750-3,"Model BAH-750-3 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 8.0 mm. The maximum flow is 220 LPM and the maximum head is 25.0 meters (82 feet). The rated head is 15.0 meters at a rated flow of 130.0 LPM. More details: https://www.hungpump.com/bah"
23,BAS-100,"Model BAS-100 is a 100W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 25.0 mm (1""), and can handle solids up to 7.0 mm. The maximum flow is 90 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 15.0 meters at a rated flow of 60.0 LPM. More details: https://www.hungpump.com/bas"
24,BAS-200,"Model BAS-200 is a 200W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 7.0 mm. The maximum flow is 140 LPM and the maximum head is 7.0 meters (23 feet). The rated head is 4.0 meters at a rated flow of 95.0 LPM. More details: https://www.hungpump.com/bas"
25,BAS-200A,"Model BAS-200A is a 200W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 7.0 mm. The maximum flow is 140 LPM and the maximum head is 7.0 meters (23 feet). The rated head is 4.0 meters at a rated flow of 95.0 LPM. More details: https://www.hungpump.com/bas"
26,BAS-300,"Model BAS-300 is a 300W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 40.0 mm (1-1/2""), and can handle solids up to 9.0 mm. The maximum flow is 200 LPM and the maximum head is 8.0 meters (26 feet). The rated head is 4.0 meters at a rated flow of 150.0 LPM. More details: https://www.hungpump.com/bas"
27,BAS-300A,"Model BAS-300A is a 250W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 40.0 mm (1-1/2""), and can handle solids up to 9.0 mm. The maximum flow is 200 LPM and the maximum head is 8.0 meters (26 feet). The rated head is 4.0 meters at a rated flow of 150.0 LPM. More details: https://www.hungpump.com/bas"
28,BAS-400,"Model BAS-400 is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 12.0 mm. The maximum flow is 270 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 4.0 meters at a rated flow of 160.0 LPM. More details: https://www.hungpump.com/bas"
29,BAS-400A,"Model BAS-400A is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 12.0 mm. The maximum flow is 270 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 160.0 LPM. More details: https://www.hungpump.com/bas"
30,BAS-600,"Model BAS-600 is a 600W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 300 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 6.0 meters at a rated flow of 195.0 LPM. More details: https://www.hungpump.com/bas"
31,BAS-600A,"Model BAS-600A is a 600W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 15.0 mm. The maximum flow is 300 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 6.0 meters at a rated flow of 195.0 LPM. More details: https://www.hungpump.com/bas"
32,BAV-150,"Model BAV-150 is a 150W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 10.0 mm. The maximum flow is 160 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 6.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/bav"
33,BAV-150S,"Model BAV-150S is a 150W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 10.0 mm. The maximum flow is 160 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 3.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/bav"
34,BAV-150SV,"Model BAV-150SV is a 150W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 10.0 mm. The maximum flow is 160 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 3.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/bav"
35,BAV-150,"Model BAV-150 is a 150W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 10.0 mm. The maximum flow is 160 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 3.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/bav"
36,BAV-1500,"Model BAV-1500 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 700 LPM and the maximum head is 16.0 meters (52 feet). The rated head is 3.0 meters at a rated flow of 450.0 LPM. More details: https://www.hungpump.com/bav"
37,BAV-1500,"Model BAV-1500 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 700 LPM and the maximum head is 16.0 meters (52 feet). The rated head is 9.0 meters at a rated flow of 450.0 LPM. More details: https://www.hungpump.com/bav"
38,BAV-1500-1,"Model BAV-1500-1 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 700 LPM and the maximum head is 16.0 meters (52 feet). The rated head is 9.0 meters at a rated flow of 450.0 LPM. More details: https://www.hungpump.com/bav"
39,BAV-1500A,"Model BAV-1500A is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 40.0 mm. The maximum flow is 700 LPM and the maximum head is 16.0 meters (52 feet). The rated head is 9.0 meters at a rated flow of 450.0 LPM. More details: https://www.hungpump.com/bav"
40,BAV-150A,"Model BAV-150A is a 150W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 10.0 mm. The maximum flow is 160 LPM and the maximum head is 6.0 meters (20 feet). The rated head is 9.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/bav"
41,BAV-250,"Model BAV-250 is a 250W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 40.0 mm (1-1/2""), and can handle solids up to 25.0 mm. The maximum flow is 200 LPM and the maximum head is 8.0 meters (26 feet). The rated head is 3.0 meters at a rated flow of 120.0 LPM. More details: https://www.hungpump.com/bav"
42,BAV-250A,"Model BAV-250A is a 250W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 40.0 mm (1-1/2""), and can handle solids up to 25.0 mm. The maximum flow is 200 LPM and the maximum head is 8.0 meters (26 feet). The rated head is 4.5 meters at a rated flow of 120.0 LPM. More details: https://www.hungpump.com/bav"
43,BAV-250T,"Model BAV-250T is a 250W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 40.0 mm (1-1/2""), and can handle solids up to 25.0 mm. The maximum flow is 200 LPM and the maximum head is 8.0 meters (26 feet). The rated head is 4.5 meters at a rated flow of 120.0 LPM. More details: https://www.hungpump.com/bav"
44,BAV-400,"Model BAV-400 is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 4.5 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
45,BAV-400,"Model BAV-400 is a 400W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
46,BAV-400,"Model BAV-400 is a 400W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
47,BAV-400A,"Model BAV-400A is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
48,BAV-400S,"Model BAV-400S is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
49,BAV-400S,"Model BAV-400S is a 400W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
50,BAV-400SJ,"Model BAV-400SJ is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
51,BAV-400ST,"Model BAV-400ST is a 400W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 300 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 185.0 LPM. More details: https://www.hungpump.com/bav"
52,BAV-550,"Model BAV-550 is a 550W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 35.0 mm. The maximum flow is 340 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 6.0 meters at a rated flow of 170.0 LPM. More details: https://www.hungpump.com/bav"
53,BAV-550A,"Model BAV-550A is a 550W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 35.0 mm. The maximum flow is 340 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 7.5 meters at a rated flow of 170.0 LPM. More details: https://www.hungpump.com/bav"
54,BAV-550,"Model BAV-550 is a 550W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 35.0 mm. The maximum flow is 340 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 7.5 meters at a rated flow of 170.0 LPM. More details: https://www.hungpump.com/bav"
55,BAV-550T,"Model BAV-550T is a 550W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 35.0 mm. The maximum flow is 340 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 7.5 meters at a rated flow of 170.0 LPM. More details: https://www.hungpump.com/bav"
56,BAV-550S,"Model BAV-550S is a 550W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 35.0 mm. The maximum flow is 340 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 7.5 meters at a rated flow of 170.0 LPM. More details: https://www.hungpump.com/bav"
57,BAV-750,"Model BAV-750 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 37.0 mm. The maximum flow is 415 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 7.5 meters at a rated flow of 310.0 LPM. More details: https://www.hungpump.com/bav"
58,BAV-750-1,"Model BAV-750-1 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 37.0 mm. The maximum flow is 415 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 6.0 meters at a rated flow of 310.0 LPM. More details: https://www.hungpump.com/bav"
59,BAV-750-3,"Model BAV-750-3 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 37.0 mm. The maximum flow is 415 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 6.0 meters at a rated flow of 310.0 LPM. More details: https://www.hungpump.com/bav"
60,BAV-750A,"Model BAV-750A is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 37.0 mm. The maximum flow is 415 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 6.0 meters at a rated flow of 310.0 LPM. More details: https://www.hungpump.com/bav"
61,BAV-750J,"Model BAV-750J is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 37.0 mm. The maximum flow is 415 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 6.0 meters at a rated flow of 310.0 LPM. More details: https://www.hungpump.com/bav"
62,BCV-1500-35,"Model BCV-1500-35 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 680 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 6.0 meters at a rated flow of 435.0 LPM. More details: https://www.hungpump.com/bcv"
63,BCV-1500-35,"Model BCV-1500-35 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 680 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 12.0 meters at a rated flow of 435.0 LPM. More details: https://www.hungpump.com/bcv"
64,BCV-1500-50,"Model BCV-1500-50 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 50.0 mm. The maximum flow is 720 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 12.0 meters at a rated flow of 480.0 LPM. More details: https://www.hungpump.com/bcv"
65,BCV-1500-50,"Model BCV-1500-50 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 50.0 mm. The maximum flow is 720 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 9.0 meters at a rated flow of 480.0 LPM. More details: https://www.hungpump.com/bcv"
66,BCV-1500-65,"Model BCV-1500-65 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 65.0 mm. The maximum flow is 900 LPM and the maximum head is 9.0 meters (30 feet). The rated head is 9.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/bcv"
67,BCV-1500-65,"Model BCV-1500-65 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 65.0 mm. The maximum flow is 900 LPM and the maximum head is 9.0 meters (30 feet). The rated head is 6.0 meters at a rated flow of 520.0 LPM. More details: https://www.hungpump.com/bcv"
68,BCV-2200-35,"Model BCV-2200-35 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 35.0 mm. The maximum flow is 800 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 6.0 meters at a rated flow of 530.0 LPM. More details: https://www.hungpump.com/bcv"
69,BCV-2200-50,"Model BCV-2200-50 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 50.0 mm. The maximum flow is 900 LPM and the maximum head is 18.0 meters (59 feet). The rated head is 12.0 meters at a rated flow of 430.0 LPM. More details: https://www.hungpump.com/bcv"
70,BCV-2200-65,"Model BCV-2200-65 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 65.0 mm. The maximum flow is 1200 LPM and the maximum head is 11.0 meters (36 feet). The rated head is 12.0 meters at a rated flow of 700.0 LPM. More details: https://www.hungpump.com/bcv"
71,BCV-2200-80,"Model BCV-2200-80 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 80.0 mm. The maximum flow is 1300 LPM and the maximum head is 8.5 meters (28 feet). The rated head is 6.0 meters at a rated flow of 600.0 LPM. More details: https://www.hungpump.com/bcv"
72,BCV-3700-50,"Model BCV-3700-50 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 50.0 mm. The maximum flow is 1100 LPM and the maximum head is 21.0 meters (69 feet). The rated head is 6.0 meters at a rated flow of 680.0 LPM. More details: https://www.hungpump.com/bcv"
73,BCV-3700-80,"Model BCV-3700-80 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 80.0 mm. The maximum flow is 1400 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 12.0 meters at a rated flow of 950.0 LPM. More details: https://www.hungpump.com/bcv"
74,BCV-400-30,"Model BCV-400-30 is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 320 LPM and the maximum head is 9.0 meters (30 feet). The rated head is 6.0 meters at a rated flow of 200.0 LPM. More details: https://www.hungpump.com/bcv"
75,BCV-400-50,"Model BCV-400-50 is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 50.0 mm. The maximum flow is 380 LPM and the maximum head is 7.0 meters (23 feet). The rated head is 6.0 meters at a rated flow of 230.0 LPM. More details: https://www.hungpump.com/bcv"
76,BCV-5500-50,"Model BCV-5500-50 is a 5.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 50.0 mm. The maximum flow is 1200 LPM and the maximum head is 24.0 meters (79 feet). The rated head is 4.0 meters at a rated flow of 850.0 LPM. More details: https://www.hungpump.com/bcv"
77,BCV-750-30,"Model BCV-750-30 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 30.0 mm. The maximum flow is 370 LPM and the maximum head is 12.0 meters (39 feet). The rated head is 15.0 meters at a rated flow of 270.0 LPM. More details: https://www.hungpump.com/bcv"
78,BCV-750-50,"Model BCV-750-50 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 50.0 mm. The maximum flow is 500 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/bcv"
79,BCV-750-50,"Model BCV-750-50 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 50.0 mm. The maximum flow is 500 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/bcv"
80,BCV-750A,"Model BCV-750A is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 50.0 mm. The maximum flow is 500 LPM and the maximum head is 10.0 meters (33 feet). The rated head is 6.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/bcv"
